category,tenor_years,bank,grr,spread,avg_lending_rate,average_apr,as_of,max_fees_total,fee_count,basis,source
corporate,1,Zenith Bank (Ghana) Limited,29.31,1.33,30.64,32.38,2024-09-30,1.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,Societe General Ghana PLC,29.31,2.44,31.75,32.86,2024-09-30,1.11,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,Ecobank Ghana Limited,29.31,3.7,33.01,33.32,2024-09-30,2.25,4,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,Access Bank Ghana Plc,29.31,2.95,32.26,33.68,2024-09-30,1.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,First Atlantic Bank Limited,29.31,3.0,32.31,33.94,2024-09-30,1.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,Stanbic Bank Ghana Limited,29.31,1.47,30.78,35.02,2024-09-30,0.5,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,OmniBSIC Bank Ghana Limited,29.31,1.69,31.0,35.04,2024-09-30,4.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,Guaranty Trust Bank (Ghana) Limited,29.31,4.36,33.67,35.19,2024-09-30,1.85,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,Fidelity Bank Ghana Limited,29.31,4.04,33.35,35.35,2024-09-30,1.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,United Bank for Africa (Ghana) Limited,29.31,2.69,32.0,36.0,2024-09-30,0.5,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,FBNBank (Ghana) Limited,29.31,1.04,30.35,36.0,2024-09-30,2.5,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,Consolidated Bank Ghana Limited,29.31,2.0,31.31,36.31,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,CalBank PLC,29.31,7.27,36.58,37.72,2024-09-30,2.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,Bank of Africa Ghana Limited,29.31,2.5,31.81,37.84,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,Republic Bank (Ghana) PLC,29.31,5.33,34.64,37.97,2024-09-30,2.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,First National Bank (Ghana) Limited,29.31,3.0,32.31,38.04,2024-09-30,1.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,Prudential Bank Limited,29.31,6.25,35.56,38.43,2024-09-30,3.5,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,Agricultural Development Bank Limited,29.31,8.2,37.51,44.92,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,1,National Investment Bank Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,GCB Bank Limited,29.31,1.09,30.4,27.63,2024-09-30,1.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,Standard Chartered Bank (Ghana) Limited,29.31,-3.97,25.34,30.58,2024-09-30,0.02,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,Fidelity Bank Ghana Limited,29.31,0.75,30.06,30.96,2024-09-30,1.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,United Bank for Africa (Ghana) Limited,29.31,0.69,30.0,31.0,2024-09-30,1.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,Access Bank Ghana Plc,29.31,2.71,32.02,31.42,2024-09-30,1.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,FBNBank (Ghana) Limited,29.31,1.5,30.81,32.07,2024-09-30,2.5,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,Ecobank Ghana Limited,29.31,4.31,33.62,32.82,2024-09-30,2.25,4,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,Societe General Ghana PLC,29.31,3.35,32.66,34.16,2024-09-30,1.5,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,Agricultural Development Bank Limited,29.31,-0.59,28.72,34.28,2024-09-30,2.25,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,OmniBSIC Bank Ghana Limited,29.31,1.69,31.0,35.04,2024-09-30,4.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,Zenith Bank (Ghana) Limited,29.31,4.14,33.45,35.05,2024-09-30,2.5,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,Republic Bank (Ghana) PLC,29.31,5.33,34.64,35.62,2024-09-30,2.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,Stanbic Bank Ghana Limited,29.31,4.35,33.66,37.05,2024-09-30,1.5,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,Prudential Bank Limited,29.31,38.0,,40.29,2024-09-30,3.5,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,CalBank PLC,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,Bank of Africa Ghana Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,National Investment Bank Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
corporate,3,First Atlantic Bank Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
